"id"	"gk2209241037"
"file_path"	"data_raw\reg\act\ship\hub\gk2209241037"
"local_path"	"\\sgu.se\SGU\prod\proj\marin\swoc\work\wiosym"
"download_date"	"2022-09-24"
"user"	"gk"
"provider_list"	"hub"
"provider_manual"	""
"source"	"Kristian.Authen@oceandata.earth"
"citation"	"NOT FINAL UPDATE NEEDED - HUB Ocean, Ocean Data Platform (www.hubocean.earth)"
"copyright"	"Partially open - product can be downloaded (resolution not finer than 250 m), raw data can be viewed, but not downloaded"
"copyright_details"	"https://oceandata.earth/terms
! this metadata and citation need futher update - email have been sent to HUB Ocean team to get correct citation"
"location"	"reg"
"theme"	"Activity (e.g. shipping)"
"theme_tag"	"act"
"subtheme"	"SHIPPING (e.g. AIS data with movements, anchoring)"
"subtheme_tag"	"ship"
"tags"	";act;shipping;shipping;fishing;"
"comments"	"Data extracted from Ocean Data Platform by Kristian. Datasettet prosessert ut fra Global Fishing Watch sine skipsdata, IHS Markit skipsdata (nå en del av S&P Global), samt Spire AIS som er prosessert av både Global Fishing Watch og HUB Ocean. In future updates it is possibel to get direct access to their data platform to make new requests and processing of data. "
